order,class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
25,1,0,0.0174021,0.02690924,0.02805968,0.02362878,0.01793958,0.0153342,0.0199799,0.03624836,0.06436284,0,0.02227466,0.0456999,0.06875998,0.09089542,0.11105092,0.12958832,0.14765666,0.16468482,0.18156618
26,3,0,0.04669836,0.10348148,0.16507954,0.21179258,0.22401254,0.2096532,0.1746586,0.12511254,0.07599358,0,-0.01665504,-0.03945458,-0.06389272,-0.07893876,-0.07990652,-0.07172392,-0.05650234,-0.0382246,-0.0227463
27,4,0,-0.00353358,-0.00307976,-0.00164706,-0.0010634,-0.00215058,-0.00642584,-0.01450976,-0.02402686,-0.03509446,0,-0.01158308,-0.0231351,-0.03436772,-0.04244456,-0.04628552,-0.0476549,-0.04652372,-0.04257564,-0.0402433
28,0,0,-0.00208178,-0.00370472,-0.00567398,-0.00697096,-0.01024904,-0.01323032,-0.01414756,-0.01219984,-0.01066808,0,-0.00428434,-0.00844084,-0.01283928,-0.01657348,-0.02082542,-0.0253573,-0.03141996,-0.0369437,-0.04237316
29,0,0,0.0042666,0.01525892,0.03062828,0.04752068,0.06350058,0.07754894,0.08857344,0.09798896,0.10724148,0,0.0096163,0.02622284,0.05072318,0.0814117,0.11391556,0.1462026,0.17654076,0.20183314,0.2187492
30,1,0,-0.0007894,-0.00066672,-0.0014562,-0.00335222,-0.00210364,0.00364634,0.01443134,0.02893474,0.03903634,0,-0.00414814,-0.00619358,-0.00809864,-0.00931792,-0.0189911,-0.03280274,-0.04883104,-0.06182972,-0.06986756
31,0,0,0.02259,0.0529003,0.08530194,0.11072442,0.11124938,0.09314754,0.05877546,0.0140563,-0.03658966,0,-0.01003182,-0.02015674,-0.02556174,-0.02266,-0.01114516,0.00526598,0.02020496,0.0279313,0.02846342
32,3,0,0.0702956,0.12240486,0.14872008,0.15322508,0.1342284,0.0928182,0.04012608,-0.0186123,-0.0879365,0,-0.0255779,-0.0431873,-0.05234466,-0.05663952,-0.05950164,-0.06470932,-0.07344632,-0.08690722,-0.1009574
33,0,0,0.03216784,0.05151514,0.06035732,0.0518905,0.0271981,-0.00517918,-0.0303153,-0.0513822,-0.05771322,0,-0.01441642,-0.01909002,-0.0172794,-0.01061636,-0.00169982,0.0056933,0.00787194,0.0078047,0.00146682
34,4,0,-0.00298272,-0.00077706,0.0090318,0.02420952,0.03917192,0.05205672,0.06042212,0.06298356,0.06405736,0,-0.00861346,-0.01866854,-0.03133328,-0.0461824,-0.06033386,-0.07258264,-0.07790338,-0.0734204,-0.06229192
35,4,0,0.04250618,0.07997502,0.11015202,0.13454942,0.15570774,0.17856144,0.20695668,0.24325056,0.28613802,0,0.0122136,0.01548106,0.00970878,-0.00240098,-0.01875436,-0.03891376,-0.0568935,-0.07463152,-0.09312124
36,2,0,-0.0402976,-0.08450752,-0.13403786,-0.17898076,-0.2084498,-0.2130821,-0.19494322,-0.17121042,-0.15093114,0,0.0190302,0.0278085,0.02926094,0.02276848,0.008447,-0.0132341,-0.03689316,-0.05311464,-0.0609697
37,0,0,0.00289634,-0.0070101,-0.03796026,-0.0809386,-0.11719076,-0.1382562,-0.14680792,-0.14643378,-0.14935146,0,-0.02557578,-0.04755334,-0.06607356,-0.08343518,-0.10175084,-0.1215161,-0.14301684,-0.16384002,-0.17763204
38,3,0,0.0032817,-0.0216782,-0.06398054,-0.09549566,-0.1093929,-0.11056622,-0.09599318,-0.07355714,-0.05489606,0,0.00021548,0.0121127,0.02841276,0.04206886,0.04844786,0.04569602,0.03446716,0.02082068,0.01065582
39,1,0,0.07178656,0.15740972,0.26151492,0.3756923,0.49262216,0.6028022,0.69052026,0.73954178,0.75159928,0,0.02142106,0.0350374,0.03779278,0.03237174,0.02186982,0.007588,-0.00877728,-0.02224794,-0.0305956
40,0,0,-0.00119826,-0.00208778,0.00530814,0.02275814,0.04876254,0.0853078,0.13152162,0.18317598,0.23786606,0,0.00219158,0.01375568,0.02973018,0.04335096,0.04880306,0.04056576,0.0222175,-0.0055752,-0.03593894
41,4,0,-0.0065231,0.00766526,0.03328736,0.05938862,0.07856112,0.08986292,0.09454966,0.09446622,0.09306936,0,-0.02385154,-0.05936814,-0.09786866,-0.1325151,-0.1572569,-0.16971268,-0.1679509,-0.15608942,-0.1385312
42,0,0,0.00672394,-0.0033334,-0.02457824,-0.03560798,-0.03116458,-0.0201409,-0.00130474,0.02080194,0.03827158,0,0.00779976,0.01961682,0.032428,0.04022546,0.04012076,0.03233162,0.01561564,-0.00466654,-0.02262778
43,3,0,-0.01905278,-0.05305336,-0.09107674,-0.12194214,-0.14498186,-0.15406204,-0.1568327,-0.15704712,-0.159148,0,0.01674504,0.03829116,0.0583835,0.06880118,0.06602396,0.0526328,0.03660798,0.02517068,0.02187154
44,0,0,-0.03614978,-0.05427058,-0.04867736,-0.01766812,0.0316554,0.0811273,0.1284317,0.16542314,0.1843128,0,0.01882932,0.02467318,0.01523394,-0.00743996,-0.0388238,-0.0701996,-0.09719628,-0.11365744,-0.115189
45,4,0,0.05916056,0.13365404,0.20833212,0.2523552,0.25636944,0.22380292,0.16457846,0.09983972,0.0606518,0,0.0068975,0.01901484,0.03511464,0.05714686,0.08548432,0.11682868,0.14743658,0.17220446,0.18709274
46,3,0,-0.02760574,-0.06989144,-0.1309403,-0.20087114,-0.25227662,-0.2722435,-0.27300678,-0.2537702,-0.21937938,0,0.00693392,0.01695218,0.033144,0.05308324,0.06874498,0.0729878,0.06943502,0.05712756,0.0393775
47,4,0,-0.00467324,0.01787506,0.0576047,0.09293354,0.10311766,0.08109786,0.02859588,-0.0295786,-0.0612946,0,-0.0008719,-0.01617208,-0.042325,-0.07227866,-0.0963151,-0.10578672,-0.09620294,-0.07336016,-0.0456993
48,0,0,0.02800994,0.09874872,0.20467146,0.33088076,0.44466404,0.51763578,0.53379014,0.4937829,0.41813874,0,0.01097426,0.00996088,-0.00287124,-0.024947,-0.04667752,-0.05943912,-0.05657394,-0.03880564,-0.01128428
49,2,0,-0.07836088,-0.1264915,-0.13700446,-0.10806908,-0.05148634,0.01033728,0.0475076,0.05298928,0.02220376,0,0.03440306,0.06264698,0.08417646,0.09849422,0.10490232,0.10672114,0.11299354,0.12684118,0.15052994
50,1,0,-0.03496226,-0.11009902,-0.20161358,-0.28183766,-0.3140844,-0.29091014,-0.21187012,-0.07996582,0.07915428,0,0.02226434,0.0621246,0.1114285,0.158337,0.18514894,0.18777012,0.16421702,0.11790606,0.05933458
51,1,0,-0.02061692,-0.0400857,-0.05638088,-0.07105794,-0.08485114,-0.09865302,-0.1119101,-0.12641176,-0.14083262,0,-0.00548078,-0.00903812,-0.00979052,-0.00957078,-0.00966408,-0.01177626,-0.01467028,-0.01972046,-0.02521218
52,1,0,-0.01915796,-0.03631852,-0.05230046,-0.06998584,-0.0913336,-0.11573616,-0.1437107,-0.17338816,-0.20252282,0,-0.01429564,-0.02798814,-0.04292038,-0.06044352,-0.08074526,-0.10197552,-0.12368324,-0.14429668,-0.16256278
53,1,0,0.01341924,0.02343166,0.02960442,0.03394372,0.035158,0.03237418,0.02675766,0.01894086,0.0069048,0,0.01250682,0.02220496,0.03045816,0.03977928,0.0472916,0.05276216,0.05589128,0.0557547,0.05092646
54,0,0,0.00310882,0.00420148,0.00296834,0.00047374,-0.0024732,-0.00498642,-0.0077147,-0.01025356,-0.0131588,0,0.00492322,0.0061046,0.00184866,-0.00742606,-0.01790234,-0.0284934,-0.04021504,-0.0510567,-0.0602825
